,DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
1748,2021-12-31T00:00:00Z,id30,For,2,2,17
1749,2021-12-30T00:00:00Z,id30,Against,1,1,1
1750,2021-12-30T00:00:00Z,id30,For,5,5,13
1751,2022-01-01T00:00:00Z,id30,For,2,2,2
1752,2021-12-31T00:00:00Z,id30,Against,1,1,1
1753,2021-12-29T00:00:00Z,id29,For,3,3,15
1754,2021-12-30T00:00:00Z,id29,For,4,4,9
1755,2021-12-28T00:00:00Z,id29,For,4,4,5
1756,2021-12-27T00:00:00Z,id29,For,8,8,27
1757,2021-12-15T00:00:00Z,id28,For,5,5,18
1758,2021-12-17T00:00:00Z,id28,For,4,4,16
1759,2021-12-16T00:00:00Z,id28,For,1,1,1
1760,2021-12-15T00:00:00Z,id28,Against,1,1,2
1761,2021-12-08T00:00:00Z,id27,For,6,6,15
1762,2021-12-09T00:00:00Z,id27,For,4,4,5
1763,2021-12-10T00:00:00Z,id27,For,2,2,14
1764,2021-12-05T00:00:00Z,id26,For,5,5,0
1765,2021-12-08T00:00:00Z,id26,For,2,2,13
1766,2021-12-06T00:00:00Z,id26,For,5,5,15
1767,2021-12-07T00:00:00Z,id26,For,3,3,4
1768,2021-12-05T00:00:00Z,id25,For,1,1,0
1769,2021-12-06T00:00:00Z,id25,For,4,4,15
1770,2021-12-04T00:00:00Z,id25,For,3,3,13
1771,2021-12-06T00:00:00Z,id24,Against,3,3,14
1772,2021-12-04T00:00:00Z,id24,Against,2,2,12
1773,2021-12-06T00:00:00Z,id24,For,2,2,8
1774,2021-12-05T00:00:00Z,id24,Against,2,2,2
1775,2021-12-04T00:00:00Z,id23,For,1,1,2
1776,2021-12-03T00:00:00Z,id23,For,4,4,12
1777,2021-12-05T00:00:00Z,id23,For,1,1,12
1778,2021-12-02T00:00:00Z,id23,For,3,3,13
1779,2021-11-29T00:00:00Z,id22,Against,1,1,1
