,WEEKLY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
368,10/3/2022,id146,For,2,2,3
369,10/3/2022,id146,Against,1,1,1
370,10/3/2022,id146,Abstain,1,1,1
371,10/10/2022,id154,For,2,2,2
372,10/10/2022,id152,For,36,36,203
373,10/10/2022,id151,For,3,3,18
374,10/17/2022,id162,Against,1,1,0
375,10/17/2022,id162,For,7,7,8
376,10/17/2022,id161,For,13,13,46
377,10/17/2022,id159,For,13,13,16
378,10/17/2022,id159,Against,2,2,9
379,10/17/2022,id158,For,9,9,14
380,10/17/2022,id158,Against,9,9,16
381,10/17/2022,id158,Abstain,1,1,1
382,10/17/2022,id157,Against,20,20,68
383,10/17/2022,id157,For,11,11,32
384,10/17/2022,id157,Abstain,1,1,1
385,10/17/2022,id156,For,31,31,181
386,10/17/2022,id156,Abstain,1,1,2
387,10/17/2022,id155,Against,1,1,0
388,10/17/2022,id155,Abstain,1,1,2
389,10/17/2022,id155,For,37,37,205
390,10/17/2022,id154,For,35,35,161
391,10/24/2022,id166,For,4,4,54
392,10/24/2022,id165,For,6,6,20
393,10/24/2022,id165,Against,9,9,98
394,10/24/2022,id164,For,27,27,177
395,10/24/2022,id164,Abstain,1,1,1
396,10/24/2022,id163,For,31,31,136
397,10/24/2022,id163,Against,1,1,2
398,10/24/2022,id162,For,30,30,160
399,10/24/2022,id161,For,25,25,120
400,10/24/2022,id159,For,16,16,44
401,10/24/2022,id159,Against,3,3,18
402,10/24/2022,id158,Against,7,7,49
403,10/31/2022,id167,For,25,25,125
404,10/31/2022,id167,Abstain,2,2,0
405,10/31/2022,id167,Against,14,14,30
406,10/31/2022,id166,Against,1,1,0
407,10/31/2022,id166,Abstain,1,1,0
408,10/31/2022,id166,For,44,44,154
409,10/31/2022,id165,For,3,3,4
410,10/31/2022,id165,Against,5,5,11
411,10/31/2022,id164,For,2,2,3
412,10/31/2022,id164,Abstain,1,1,2
413,11/7/2022,id169,Abstain,1,1,0
414,11/7/2022,id169,Against,1,1,0
415,11/7/2022,id169,For,7,7,7
416,11/7/2022,id168,Abstain,3,3,0
417,11/7/2022,id168,Against,26,26,127
418,11/7/2022,id168,For,7,7,7
419,11/7/2022,id167,For,11,11,18
420,11/7/2022,id167,Against,9,9,78
421,11/14/2022,id173,For,3,3,7
422,11/14/2022,id173,Against,2,2,1
423,11/14/2022,id172,For,29,29,170
424,11/14/2022,id172,Abstain,2,2,0
425,11/14/2022,id172,Against,1,1,1
426,11/14/2022,id171,For,27,27,68
427,11/14/2022,id171,Against,3,3,2
428,11/14/2022,id171,Abstain,1,1,19
429,11/14/2022,id170,Abstain,1,1,19
430,11/14/2022,id170,Against,24,24,67
431,11/14/2022,id170,For,22,22,91
432,11/14/2022,id169,For,25,25,139
433,11/21/2022,id176,For,2,2,11
434,11/21/2022,id176,Against,1,1,2
435,11/21/2022,id175,For,1,1,8
436,11/21/2022,id175,Against,3,3,6
437,11/21/2022,id174,Abstain,1,1,2
438,11/21/2022,id174,For,30,30,152
439,11/21/2022,id173,Against,9,9,22
440,11/21/2022,id173,For,19,19,100
441,11/21/2022,id173,Abstain,1,1,0
442,11/21/2022,id172,For,11,11,24
443,11/21/2022,id172,Abstain,1,1,0
444,11/21/2022,id171,For,9,9,98
445,11/28/2022,id179,For,1,1,3
446,11/28/2022,id177,Against,4,4,20
447,11/28/2022,id177,For,12,12,105
448,11/28/2022,id176,For,30,30,72
449,11/28/2022,id176,Against,3,3,11
450,11/28/2022,id175,For,20,20,60
451,11/28/2022,id175,Against,17,17,84
452,11/28/2022,id175,Abstain,1,1,1
453,11/28/2022,id174,For,8,8,22
454,11/28/2022,id174,Against,2,2,1
455,12/5/2022,id185,For,7,7,11
