DAILY,PROPOSAL_ID,SUPPORT,NUMBER_OF_VOTE_TRANSACTIONS,NUMBER_OF_ADRESSES,NUMBER_OF_VOTES
2022-12-20T00:00:00Z,28,For,150,150,2500490.355
2022-12-19T00:00:00Z,28,Abstain,1,1,10
2022-12-17T00:00:00Z,28,For,359,359,2251.957673
2022-12-18T00:00:00Z,28,Abstain,1,1,1
2022-12-18T00:00:00Z,28,For,418,418,3540606.117
2022-12-16T00:00:00Z,28,For,35,35,3003653.795
2022-12-19T00:00:00Z,28,Against,3,3,11.764495
2022-12-19T00:00:00Z,28,For,477,477,2502991.784
2022-12-17T00:00:00Z,28,Against,10,10,42.096725
2022-12-18T00:00:00Z,28,Against,4,4,4.150539
2022-12-20T00:00:00Z,28,Against,9,9,4919160.362
2022-12-16T00:00:00Z,28,Against,2,2,26.707876
2022-12-22T00:00:00Z,29,For,275,275,21897639.96
2022-12-23T00:00:00Z,29,Against,1,1,0.082531
2022-12-24T00:00:00Z,29,For,283,283,869.098828
2022-12-20T00:00:00Z,29,Against,3,3,13.25395
2022-12-19T00:00:00Z,29,Against,1,1,2.5
2022-12-21T00:00:00Z,29,For,392,392,4920341.585
2022-12-18T00:00:00Z,29,For,46,46,3000230.382
2022-12-23T00:00:00Z,29,For,259,259,20743743.83
2022-12-20T00:00:00Z,29,For,291,291,2500770.081
2022-12-22T00:00:00Z,29,Against,3,3,3.067696
2022-12-21T00:00:00Z,29,Against,2,2,6.984864
2022-12-20T00:00:00Z,29,Abstain,1,1,1.5
2022-12-22T00:00:00Z,29,Abstain,1,1,10
2022-12-18T00:00:00Z,29,Against,2,2,10.843973
2022-12-23T00:00:00Z,29,Abstain,1,1,0.068217
2022-12-19T00:00:00Z,29,For,260,260,2505094.999
2023-01-28T00:00:00Z,30,For,203,203,3302504.21
2023-01-31T00:00:00Z,30,For,130,130,16066321.9
2023-02-02T00:00:00Z,30,For,60,60,5500495.598
